FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,nan,43162.3642935,43162.3642935,43513.0992336,43513.0992336,60075.3099201,60071.2252525,59906.8258481,68622.2701369,68622.2701369,161481.093455,129257.641338,163060.318714,164070.726287,153496.485784,153496.485784,185431.710777,67928.9265278,3726.05466775,30134.6926405,44440.3282395,64463.8159633,68622.2701369,74411.7595184,73620.1759868,73657.2328992,107105.039573,73657.2328992
1,43162.3642935,nan,0.0,588.760463233,588.760463233,12732.6403052,12727.9685495,12580.3259232,15576.4885379,15576.4885379,210903.908228,188260.454719,212881.486909,213764.647522,206871.66957,206871.66957,248730.014871,126440.764145,47237.7980717,11600.4753849,56726.3665305,11696.4203742,15576.4885379,26469.5269605,34116.7017901,34155.3180593,81274.3925228,34155.3180593
2,43162.3642935,0.0,nan,588.760463233,588.760463233,12732.6403052,12727.9685495,12580.3259232,15576.4885379,15576.4885379,210903.908228,188260.454719,212881.486909,213764.647522,206871.66957,206871.66957,248730.014871,126440.764145,47237.7980717,11600.4753849,56726.3665305,11696.4203742,15576.4885379,26469.5269605,34116.7017901,34155.3180593,81274.3925228,34155.3180593
3,43513.0992336,588.760463233,588.760463233,nan,0.0,3537.68123605,3550.00307812,3492.00450988,14944.5685607,14944.5685607,212545.204995,189442.93324,214433.603555,215378.143646,208373.458604,208373.458604,249370.511976,125734.760873,48532.2886471,13295.64706,58554.2073866,11696.4203742,14944.5685607,28037.9164615,35846.8755031,35885.3331211,82902.0038267,35885.3331211
4,43513.0992336,588.760463233,588.760463233,0.0,nan,3537.68123605,3550.00307812,3492.00450988,14944.5685607,14944.5685607,212545.204995,189442.93324,214433.603555,215378.143646,208373.458604,208373.458604,249370.511976,125734.760873,48532.2886471,13295.64706,58554.2073866,11696.4203742,14944.5685607,28037.9164615,35846.8755031,35885.3331211,82902.0038267,35885.3331211
5,60075.3099201,12732.6403052,12732.6403052,3537.68123605,3537.68123605,nan,18.6041658307,0.0,18803.8187499,18803.8187499,224140.327114,203409.609819,226481.652795,227114.070264,220876.25297,220876.25297,264751.1845,143687.444379,63628.7254807,25790.136701,69948.1579968,14134.7574856,18803.8187499,34647.9463113,45088.6188998,45123.6180345,89767.2087258,45123.6180345
6,60071.2252525,12727.9685495,12727.9685495,3550.00307812,3550.00307812,18.6041658307,nan,0.0,18780.2792016,18780.2792016,224122.983584,203397.339591,226465.92541,227097.588657,220861.177871,220861.177871,264741.83159,143686.606603,63621.5018193,25780.0522893,69933.4331961,14134.7574856,18780.2792016,34623.8114112,45069.4434965,45102.5209117,89767.2087258,45102.5209117
7,59906.8258481,12580.3259232,12580.3259232,3492.00450988,3492.00450988,0.0,0.0,nan,18693.2731094,18693.2731094,223976.655363,203248.823467,226302.415037,226926.185645,220721.646871,220721.646871,264587.617353,143515.813274,63457.8729474,25635.6436815,69799.282343,14134.7574856,18693.2731094,34391.323238,44858.6636065,44858.6636065,89767.2087258,44858.6636065
8,68622.2701369,15576.4885379,15576.4885379,14944.5685607,14944.5685607,18803.8187499,18780.2792016,18693.2731094,nan,0.0,73401.611554,110435.315592,76012.6978422,76375.8518077,90872.0455218,90872.0455218,180931.651569,161501.886397,65756.9366418,13284.9485231,24327.4644635,350.681050251,0.0,395.822918404,874.692030108,894.875038173,6624.58972777,894.875038173
9,68622.2701369,15576.4885379,15576.4885379,14944.5685607,14944.5685607,18803.8187499,18780.2792016,18693.2731094,0.0,nan,73401.611554,110435.315592,76012.6978422,76375.8518077,90872.0455218,90872.0455218,180931.651569,161501.886397,65756.9366418,13284.9485231,24327.4644635,350.681050251,0.0,395.822918404,874.692030108,894.875038173,6624.58972777,894.875038173
10,161481.093455,210903.908228,210903.908228,212545.204995,212545.204995,224140.327114,224122.983584,223976.655363,73401.611554,73401.611554,nan,47859.0729565,1029.50769472,1209.50888765,10459.0945995,10459.0945995,83724.4434089,162699.649157,155760.482376,165841.79304,144714.622264,71371.0731162,73401.611554,73508.3084389,65840.9965534,65827.3202204,75714.3021997,65827.3202204
11,129257.641338,188260.454719,188260.454719,189442.93324,189442.93324,203409.609819,203397.339591,203248.823467,110435.315592,110435.315592,47859.0729565,nan,48153.1518335,49250.9676236,28045.0496295,28045.0496295,65748.1836978,108743.699353,125517.394898,154162.693413,134013.685583,109671.283319,110435.315592,111807.461368,105697.742584,105699.065357,118479.082336,105699.065357
12,163060.318714,212881.486909,212881.486909,214433.603555,214433.603555,226481.652795,226465.92541,226302.415037,76012.6978422,76012.6978422,1029.50769472,48153.1518335,nan,430.936014466,11380.5766518,11380.5766518,82822.1303292,163275.500636,157543.973024,167944.07315,146907.010925,72043.3313169,76012.6978422,76195.1556269,68528.0130167,68514.9494547,78275.0258002,68514.9494547
