FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,43868.0519919,43868.0519919,43868.0519919,43868.0519919,43868.0519919,43868.0519919,43868.0519919,85498.386248,85498.386248,175708.599265,139610.295616,175708.599265,175708.599265,165978.565136,165978.565136,188411.179599,67934.5292273,15329.3425458,32549.7320848,57845.2284216,85498.386248,85498.386248,85498.386248,120726.424991,120726.424991,193552.793895,120726.424991
1,43868.0519919,NA,0,0,0,0,0,0,27938.3559785,27938.3559785,211288.514261,189634.999094,211288.514261,211288.514261,207682.552086,207682.552086,249239.900863,125586.658224,55950.9468773,12049.5088369,57094.813809,27938.3559785,27938.3559785,27938.3559785,127611.575375,127611.575375,196975.263899,127611.575375
2,43868.0519919,0,NA,0,0,0,0,0,27938.3559785,27938.3559785,211288.514261,189634.999094,211288.514261,211288.514261,207682.552086,207682.552086,249239.900863,125586.658224,55950.9468773,12049.5088369,57094.813809,27938.3559785,27938.3559785,27938.3559785,127611.575375,127611.575375,196975.263899,127611.575375
3,43868.0519919,0,0,NA,0,0,0,0,27938.3559785,27938.3559785,211288.514261,189634.999094,211288.514261,211288.514261,207682.552086,207682.552086,249239.900863,125586.658224,55950.9468773,12049.5088369,57094.813809,27938.3559785,27938.3559785,27938.3559785,127611.575375,127611.575375,196975.263899,127611.575375
4,43868.0519919,0,0,0,NA,0,0,0,27938.3559785,27938.3559785,211288.514261,189634.999094,211288.514261,211288.514261,207682.552086,207682.552086,249239.900863,125586.658224,55950.9468773,12049.5088369,57094.813809,27938.3559785,27938.3559785,27938.3559785,127611.575375,127611.575375,196975.263899,127611.575375
5,43868.0519919,0,0,0,0,NA,0,0,27938.3559785,27938.3559785,211288.514261,189634.999094,211288.514261,211288.514261,207682.552086,207682.552086,249239.900863,125586.658224,55950.9468773,12049.5088369,57094.813809,27938.3559785,27938.3559785,27938.3559785,127611.575375,127611.575375,196975.263899,127611.575375
6,43868.0519919,0,0,0,0,0,NA,0,27938.3559785,27938.3559785,211288.514261,189634.999094,211288.514261,211288.514261,207682.552086,207682.552086,249239.900863,125586.658224,55950.9468773,12049.5088369,57094.813809,27938.3559785,27938.3559785,27938.3559785,127611.575375,127611.575375,196975.263899,127611.575375
7,43868.0519919,0,0,0,0,0,0,NA,27938.3559785,27938.3559785,211288.514261,189634.999094,211288.514261,211288.514261,207682.552086,207682.552086,249239.900863,125586.658224,55950.9468773,12049.5088369,57094.813809,27938.3559785,27938.3559785,27938.3559785,127611.575375,127611.575375,196975.263899,127611.575375
8,85498.386248,27938.3559785,27938.3559785,27938.3559785,27938.3559785,27938.3559785,27938.3559785,27938.3559785,NA,0,103891.074791,127656.498977,103891.074791,103891.074791,115121.406671,115121.406671,200744.081552,171893.429033,73352.0228346,32932.3530275,22017.8006126,0,0,0,1714.74433733,1714.74433733,18792.7493462,1714.74433733
9,85498.386248,27938.3559785,27938.3559785,27938.3559785,27938.3559785,27938.3559785,27938.3559785,27938.3559785,0,NA,103891.074791,127656.498977,103891.074791,103891.074791,115121.406671,115121.406671,200744.081552,171893.429033,73352.0228346,32932.3530275,22017.8006126,0,0,0,1714.74433733,1714.74433733,18792.7493462,1714.74433733
10,175708.599265,211288.514261,211288.514261,211288.514261,211288.514261,211288.514261,211288.514261,211288.514261,103891.074791,103891.074791,NA,48711.1925986,0,0,11889.9383388,11889.9383388,86627.2513665,162729.313611,155593.209642,186237.192299,145683.665422,103891.074791,103891.074791,103891.074791,70849.3150488,70849.3150488,98333.0263283,70849.3150488
11,139610.295616,189634.999094,189634.999094,189634.999094,189634.999094,189634.999094,189634.999094,189634.999094,127656.498977,127656.498977,48711.1925986,NA,48711.1925986,48711.1925986,28867.2390948,28867.2390948,65809.2267071,109443.73621,126532.990171,162790.257078,135767.436959,127656.498977,127656.498977,127656.498977,106864.184468,106864.184468,141640.486109,106864.184468
12,175708.599265,211288.514261,211288.514261,211288.514261,211288.514261,211288.514261,211288.514261,211288.514261,103891.074791,103891.074791,0,48711.1925986,NA,0,11889.9383388,11889.9383388,86627.2513665,162729.313611,155593.209642,186237.192299,145683.665422,103891.074791,103891.074791,103891.074791,70849.3150488,70849.3150488,98333.0263283,70849.3150488
13,175708.599265,211288.514261,211288.514261,211288.514261,211288.514261,211288.514261,211288.514261,211288.514261,103891.074791,103891.074791,0,48711.1925986,0,NA,11889.9383388,11889.9383388,86627.2513665,162729.313611,155593.209642,186237.192299,145683.665422,103891.074791,103891.074791,103891.074791,70849.3150488,70849.3150488,98333.0263283,70849.3150488
14,165978.565136,207682.552086,207682.552086,207682.552086,207682.552086,207682.552086,207682.552086,207682.552086,115121.406671,115121.406671,11889.9383388,28867.2390948,11889.9383388,11889.9383388,NA,0,82283.0282201,145381.627378,148218.231403,181305.050414,146522.136204,115121.406671,115121.406671,115121.406671,85639.7019184,85639.7019184,115802.35564,85639.7019184
15,165978.565136,207682.552086,207682.552086,207682.552086,207682.552086,207682.552086,207682.552086,207682.552086,115121.406671,115121.406671,11889.9383388,28867.2390948,11889.9383388,11889.9383388,0,NA,82283.0282201,145381.627378,148218.231403,181305.050414,146522.136204,115121.406671,115121.406671,115121.406671,85639.7019184,85639.7019184,115802.35564,85639.7019184
16,188411.179599,249239.900863,249239.900863,249239.900863,249239.900863,249239.900863,249239.900863,249239.900863,200744.081552,200744.081552,86627.2513665,65809.2267071,86627.2513665,86627.2513665,82283.0282201,82283.0282201,NA,128469.552559,186928.147611,225128.81267,205341.355283,200744.081552,200744.081552,200744.081552,176066.358924,176066.358924,207443.819599,176066.358924
17,67934.5292273,125586.658224,125586.658224,125586.658224,125586.658224,125586.658224,125586.658224,125586.658224,171893.429033,171893.429033,162729.313611,109443.73621,162729.313611,162729.313611,145381.627378,145381.627378,128469.552559,NA,89659.9696895,124624.730739,136038.424453,171893.429033,171893.429033,171893.429033,166297.483415,166297.483415,229090.432733,166297.483415
18,15329.3425458,55950.9468773,55950.9468773,55950.9468773,55950.9468773,55950.9468773,55950.9468773,55950.9468773,73352.0228346,73352.0228346,155593.209642,126532.990171,155593.209642,155593.209642,148218.231403,148218.231403,186928.147611,89659.9696895,NA,31906.0207059,40819.1186167,73352.0228346,73352.0228346,73352.0228346,98514.8693747,98514.8693747,171087.044902,98514.8693747
19,32549.7320848,12049.5088369,12049.5088369,12049.5088369,12049.5088369,12049.5088369,12049.5088369,12049.5088369,32932.3530275,32932.3530275,186237.192299,162790.257078,186237.192299,186237.192299,181305.050414,181305.050414,225128.81267,124624.730739,31906.0207059,NA,37561.2261102,32932.3530275,32932.3530275,32932.3530275,107244.599714,107244.599714,176007.549677,107244.599714
20,57845.2284216,57094.813809,57094.813809,57094.813809,57094.813809,57094.813809,57094.813809,57094.813809,22017.8006126,22017.8006126,145683.665422,135767.436959,145683.665422,145683.665422,146522.136204,146522.136204,205341.355283,136038.424453,40819.1186167,37561.2261102,NA,22017.8006126,22017.8006126,22017.8006126,54979.9577965,54979.9577965,125449.679596,54979.9577965
