FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,nan,155937.62207,155937.62207,161988.918606,161988.918606,172343.029469,172338.079229,172273.859771,153873.14922,153873.14922,207008.67977,148310.353912,207668.839746,208443.431909,173943.798153,173943.798153,205930.02699,92416.681828,9981.68273522,74219.4521036,76193.5243746,152043.23722,153873.14922,156592.195971,152949.518535,152970.731331,171119.028608,152970.731331
1,155937.62207,nan,0.0,6824.09019996,6824.09019996,16660.6106334,16654.2438327,16501.0069318,173684.614566,173684.614566,342318.913221,296856.496911,343391.393817,344079.403193,314665.708679,314665.708679,360817.811077,238649.954205,158522.798898,127123.785848,164257.006509,175988.329038,173684.614566,179600.529732,185960.964572,185986.339368,215829.4789,185986.339368
2,155937.62207,0.0,nan,6824.09019996,6824.09019996,16660.6106334,16654.2438327,16501.0069318,173684.614566,173684.614566,342318.913221,296856.496911,343391.393817,344079.403193,314665.708679,314665.708679,360817.811077,238649.954205,158522.798898,127123.785848,164257.006509,175988.329038,173684.614566,179600.529732,185960.964572,185986.339368,215829.4789,185986.339368
3,161988.918606,6824.09019996,6824.09019996,nan,0.0,11896.101443,11905.9024657,11796.6887686,178390.050645,178390.050645,349132.024612,303601.322014,350215.324591,350902.426668,321487.684935,321487.684935,367283.626631,243901.79399,165184.501688,133360.045816,170786.154867,175988.329038,178390.050645,185502.279852,192331.257289,192357.164743,221885.576038,192357.164743
4,161988.918606,6824.09019996,6824.09019996,0.0,nan,11896.101443,11905.9024657,11796.6887686,178390.050645,178390.050645,349132.024612,303601.322014,350215.324591,350902.426668,321487.684935,321487.684935,367283.626631,243901.79399,165184.501688,133360.045816,170786.154867,175988.329038,178390.050645,185502.279852,192331.257289,192357.164743,221885.576038,192357.164743
5,172343.029469,16660.6106334,16660.6106334,11896.101443,11896.101443,nan,33.980117278,0.0,181065.167005,181065.167005,356347.533344,312320.012227,357822.697666,358367.226556,329345.322598,329345.322598,376893.660973,255004.083042,174640.843144,141083.587533,177852.915927,177423.536891,181065.167005,189414.023524,197723.859758,197749.034251,226089.652973,197749.034251
6,172338.079229,16654.2438327,16654.2438327,11905.9024657,11905.9024657,33.980117278,nan,0.0,181039.534837,181039.534837,356328.96211,312306.39441,357805.231548,358349.048634,329328.78563,329328.78563,376882.827565,255001.903286,174632.186205,141071.554986,177837.048655,177423.536891,181039.534837,189388.840647,197702.02099,197726.53969,226089.652973,197726.53969
7,172273.859771,16501.0069318,16501.0069318,11796.6887686,11796.6887686,0.0,0.0,nan,181024.364293,181024.364293,356301.319732,312259.037794,357766.450172,358302.353969,329289.62759,329289.62759,376831.565843,254933.556531,174572.109169,141037.025599,177800.067746,177423.536891,181024.364293,189297.936644,197622.518349,197622.518349,226089.652973,197622.518349
8,153873.14922,173684.614566,173684.614566,178390.050645,178390.050645,181065.167005,181039.534837,181024.364293,nan,0.0,219386.910104,208766.448771,221202.169607,221540.104414,205787.331206,205787.331206,286464.703222,235875.113655,145701.280477,87338.9419427,82402.5055705,1420.74762417,0.0,8373.88835488,21330.0353819,21351.3588644,49273.5704436,21351.3588644
9,153873.14922,173684.614566,173684.614566,178390.050645,178390.050645,181065.167005,181039.534837,181024.364293,0.0,nan,219386.910104,208766.448771,221202.169607,221540.104414,205787.331206,205787.331206,286464.703222,235875.113655,145701.280477,87338.9419427,82402.5055705,1420.74762417,0.0,8373.88835488,21330.0353819,21351.3588644,49273.5704436,21351.3588644
