FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,164151.989313,164151.989313,164151.989313,164151.989313,164151.989313,164151.989313,164151.989313,152258.187347,152258.187347,207638.250624,147714.863966,207638.250624,207638.250624,173147.552602,173147.552602,205613.352057,93137.5224068,0,56528.5208056,75093.2304924,152258.187347,152258.187347,152258.187347,152258.187347,152258.187347,194647.817667,152258.187347
1,164151.989313,NA,0,0,0,0,0,0,177156.794605,177156.794605,352407.46353,305353.50846,352407.46353,352407.46353,323007.808281,323007.808281,369229.941195,246273.966091,164151.989313,127864.697889,171922.898098,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,292793.241709,177156.794605
2,164151.989313,0,NA,0,0,0,0,0,177156.794605,177156.794605,352407.46353,305353.50846,352407.46353,352407.46353,323007.808281,323007.808281,369229.941195,246273.966091,164151.989313,127864.697889,171922.898098,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,292793.241709,177156.794605
3,164151.989313,0,0,NA,0,0,0,0,177156.794605,177156.794605,352407.46353,305353.50846,352407.46353,352407.46353,323007.808281,323007.808281,369229.941195,246273.966091,164151.989313,127864.697889,171922.898098,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,292793.241709,177156.794605
4,164151.989313,0,0,0,NA,0,0,0,177156.794605,177156.794605,352407.46353,305353.50846,352407.46353,352407.46353,323007.808281,323007.808281,369229.941195,246273.966091,164151.989313,127864.697889,171922.898098,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,292793.241709,177156.794605
5,164151.989313,0,0,0,0,NA,0,0,177156.794605,177156.794605,352407.46353,305353.50846,352407.46353,352407.46353,323007.808281,323007.808281,369229.941195,246273.966091,164151.989313,127864.697889,171922.898098,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,292793.241709,177156.794605
6,164151.989313,0,0,0,0,0,NA,0,177156.794605,177156.794605,352407.46353,305353.50846,352407.46353,352407.46353,323007.808281,323007.808281,369229.941195,246273.966091,164151.989313,127864.697889,171922.898098,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,292793.241709,177156.794605
7,164151.989313,0,0,0,0,0,0,NA,177156.794605,177156.794605,352407.46353,305353.50846,352407.46353,352407.46353,323007.808281,323007.808281,369229.941195,246273.966091,164151.989313,127864.697889,171922.898098,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,292793.241709,177156.794605
8,152258.187347,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,NA,0,222477.886817,209397.686308,222477.886817,222477.886817,206593.512097,206593.512097,287271.212409,235933.632159,152258.187347,104419.752485,82039.2070391,0,0,0,0,0,128098.011385,0
9,152258.187347,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,0,NA,222477.886817,209397.686308,222477.886817,222477.886817,206593.512097,206593.512097,287271.212409,235933.632159,152258.187347,104419.752485,82039.2070391,0,0,0,0,0,128098.011385,0
10,207638.250624,352407.46353,352407.46353,352407.46353,352407.46353,352407.46353,352407.46353,352407.46353,222477.886817,222477.886817,NA,73462.3224851,0,0,36874.1820503,36874.1820503,111234.30466,200373.015209,207638.250624,224978.561406,181611.642387,222477.886817,222477.886817,222477.886817,222477.886817,222477.886817,116549.999965,222477.886817
11,147714.863966,305353.50846,305353.50846,305353.50846,305353.50846,305353.50846,305353.50846,305353.50846,209397.686308,209397.686308,73462.3224851,NA,73462.3224851,73462.3224851,37725.7712635,37725.7712635,78078.8838144,127035.038655,147714.863966,178724.834176,145533.50125,209397.686308,209397.686308,209397.686308,209397.686308,209397.686308,144220.906169,209397.686308
12,207638.250624,352407.46353,352407.46353,352407.46353,352407.46353,352407.46353,352407.46353,352407.46353,222477.886817,222477.886817,0,73462.3224851,NA,0,36874.1820503,36874.1820503,111234.30466,200373.015209,207638.250624,224978.561406,181611.642387,222477.886817,222477.886817,222477.886817,222477.886817,222477.886817,116549.999965,222477.886817
13,207638.250624,352407.46353,352407.46353,352407.46353,352407.46353,352407.46353,352407.46353,352407.46353,222477.886817,222477.886817,0,73462.3224851,0,NA,36874.1820503,36874.1820503,111234.30466,200373.015209,207638.250624,224978.561406,181611.642387,222477.886817,222477.886817,222477.886817,222477.886817,222477.886817,116549.999965,222477.886817
14,173147.552602,323007.808281,323007.808281,323007.808281,323007.808281,323007.808281,323007.808281,323007.808281,206593.512097,206593.512097,36874.1820503,37725.7712635,36874.1820503,36874.1820503,NA,0,94736.674337,163883.060083,173147.552602,195143.110505,155055.01501,206593.512097,206593.512097,206593.512097,206593.512097,206593.512097,119743.265587,206593.512097
15,173147.552602,323007.808281,323007.808281,323007.808281,323007.808281,323007.808281,323007.808281,323007.808281,206593.512097,206593.512097,36874.1820503,37725.7712635,36874.1820503,36874.1820503,0,NA,94736.674337,163883.060083,173147.552602,195143.110505,155055.01501,206593.512097,206593.512097,206593.512097,206593.512097,206593.512097,119743.265587,206593.512097
16,205613.352057,369229.941195,369229.941195,369229.941195,369229.941195,369229.941195,369229.941195,369229.941195,287271.212409,287271.212409,111234.30466,78078.8838144,111234.30466,111234.30466,94736.674337,94736.674337,NA,148865.798178,205613.352057,246910.912285,219937.237574,287271.212409,287271.212409,287271.212409,287271.212409,287271.212409,214402.009725,287271.212409
17,93137.5224068,246273.966091,246273.966091,246273.966091,246273.966091,246273.966091,246273.966091,246273.966091,235933.632159,235933.632159,200373.015209,127035.038655,200373.015209,200373.015209,163883.060083,163883.060083,148865.798178,NA,93137.5224068,149407.884136,153926.151902,235933.632159,235933.632159,235933.632159,235933.632159,235933.632159,237779.374723,235933.632159
18,0,164151.989313,164151.989313,164151.989313,164151.989313,164151.989313,164151.989313,164151.989313,152258.187347,152258.187347,207638.250624,147714.863966,207638.250624,207638.250624,173147.552602,173147.552602,205613.352057,93137.5224068,NA,56528.5208056,75093.2304924,152258.187347,152258.187347,152258.187347,152258.187347,152258.187347,194647.817667,152258.187347
19,56528.5208056,127864.697889,127864.697889,127864.697889,127864.697889,127864.697889,127864.697889,127864.697889,104419.752485,104419.752485,224978.561406,178724.834176,224978.561406,224978.561406,195143.110505,195143.110505,246910.912285,149407.884136,56528.5208056,NA,49214.2244995,104419.752485,104419.752485,104419.752485,104419.752485,104419.752485,180319.440429,104419.752485
20,75093.2304924,171922.898098,171922.898098,171922.898098,171922.898098,171922.898098,171922.898098,171922.898098,82039.2070391,82039.2070391,181611.642387,145533.50125,181611.642387,181611.642387,155055.01501,155055.01501,219937.237574,153926.151902,75093.2304924,49214.2244995,NA,82039.2070391,82039.2070391,82039.2070391,82039.2070391,82039.2070391,131464.435829,82039.2070391
21,152258.187347,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,0,0,222477.886817,209397.686308,222477.886817,222477.886817,206593.512097,206593.512097,287271.212409,235933.632159,152258.187347,104419.752485,82039.2070391,NA,0,0,0,0,128098.011385,0
22,152258.187347,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,0,0,222477.886817,209397.686308,222477.886817,222477.886817,206593.512097,206593.512097,287271.212409,235933.632159,152258.187347,104419.752485,82039.2070391,0,NA,0,0,0,128098.011385,0
23,152258.187347,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,0,0,222477.886817,209397.686308,222477.886817,222477.886817,206593.512097,206593.512097,287271.212409,235933.632159,152258.187347,104419.752485,82039.2070391,0,0,NA,0,0,128098.011385,0
24,152258.187347,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,177156.794605,0,0,222477.886817,209397.686308,222477.886817,222477.886817,206593.512097,206593.512097,287271.212409,235933.632159,152258.187347,104419.752485,82039.2070391,0,0,0,NA,0,128098.011385,0
